name;link
Xadrez Verbal Podcast #148 – México, Europa e caso Vladimir Herzog ;https://xadrezverbal.com/2018/07/06/xadrez-verbal-podcast-148-mexico-europa-e-caso-vladimir-herzog/
Xadrez Verbal Podcast #147 – Eleições na Turquia, Europa e América Latina ;https://xadrezverbal.com/2018/06/29/xadrez-verbal-podcast-147-eleicoes-na-turquia-europa-e-america-latina/
Xadrez Verbal Podcast #146 – EUA, Colômbia e eleição na Turquia ;https://xadrezverbal.com/2018/06/22/xadrez-verbal-podcast-146-eua-colombia-e-eleicao-na-turquia/
Xadrez Verbal Podcast #145 – EUA, G7 e cúpula Trump-Kim ;https://xadrezverbal.com/2018/06/15/xadrez-verbal-podcast-144-eua-g7-e-cupula-trump-kim/
Xadrez Verbal Podcast #144 – Oriente Médio, América Latina e G7 ;https://xadrezverbal.com/2018/06/08/xadrez-verbal-podcast-144-oriente-medio-america-latina-e-g7/
Xadrez Verbal Podcast #143 – Oriente Médio, Colômbia e Europa ;https://xadrezverbal.com/2018/06/01/xadrez-verbal-podcast-143-oriente-medio-colombia-e-europa/
Xadrez Verbal Podcast #142 – Venezuela, Coreia e modais de transporte ;https://xadrezverbal.com/2018/05/25/xadrez-verbal-podcast-142-venezuela-coreia-e-modais-de-transporte/
Xadrez Verbal Podcast #141 – Coreia, Oriente Médio e América Latina ;https://xadrezverbal.com/2018/05/18/xadrez-verbal-podcast-141-coreia-oriente-medio-e-america-latina/
Xadrez Verbal Podcast #140 – Armênia, América Latina e Irã ;https://xadrezverbal.com/2018/05/11/xadrez-verbal-podcast-140-armenia-america-latina-e-ira/
Xadrez Verbal Podcast #139 – Tanguy Baghdadi, América Latina e Coreia ;https://xadrezverbal.com/2018/05/04/xadrez-verbal-podcast-139-tanguy-baghdadi-america-latina-e-coreia/
Xadrez Verbal Podcast #138 – Macron nos EUA, América Latina e Coreias ;https://xadrezverbal.com/2018/04/27/xadrez-verbal-podcast-138-macron-nos-eua-america-latina-e-coreias/
Xadrez Verbal Podcast #137 – Síria, Coreias e América Latina ;https://xadrezverbal.com/2018/04/20/xadrez-verbal-podcast-137-siria-coreias-e-america-latina/
Xadrez Verbal Podcast #136 – Síria, Europa e Cúpula das Américas ;https://xadrezverbal.com/2018/04/13/xadrez-verbal-podcast-136-siria-europa-e-cupula-das-americas/
Xadrez Verbal Podcast #135 – América Latina, Oriente Médio e potências ;https://xadrezverbal.com/2018/04/06/xadrez-verbal-podcast-135-america-latina-oriente-medio-e-potencias/
